sid,habitat,lifeform
1632,M,Hemicryptophyte
1633,G,Hemicryptophyte
1633,H,Hemicryptophyte
1633,P,Hemicryptophyte
1633,W,Hemicryptophyte
1634,G,Hemicryptophyte
1634,H,Hemicryptophyte
1634,P,Hemicryptophyte
1635,H,Hemicryptophyte
1635,P,Hemicryptophyte
1635,W,Hemicryptophyte
1636,C,Hemicryptophyte
1637,C,Hemicryptophyte
1638,C,Hemicryptophyte
1639,C,Hemicryptophyte
1640,P,Hemicryptophyte
1641,C,Hemicryptophyte
1641,G,Hemicryptophyte
1642,G,Hemicryptophyte
1642,P,Hemicryptophyte
1642,R,Hemicryptophyte
1643,C,Hemicryptophyte
1644,G,Hemicryptophyte
1645,R,Hemicryptophyte
1646,R,Hemicryptophyte
1647,R,Hemicryptophyte
1648,M,Hemicryptophyte
1649,C,Hemicryptophyte
1649,G,Hemicryptophyte
1650,M,Chamaephyte
1650,P,Chamaephyte
1651,P,Hemicryptophyte
1651,R,Hemicryptophyte
1652,G,Hemicryptophyte
1653,C,Hemicryptophyte
1654,G,Hemicryptophyte
1654,R,Hemicryptophyte
1655,G,Hemicryptophyte
1655,R,Hemicryptophyte
1656,G,Hemicryptophyte
1657,G,Hemicryptophyte
1657,W,Hemicryptophyte
1658,C,Hemicryptophyte
1659,H,Hemicryptophyte
1660,C,Hemicryptophyte
1661,C,Hemicryptophyte
1662,R,Hemicryptophyte
1663,G,Hemicryptophyte
1664,G,Hemicryptophyte
1665,G,Hemicryptophyte
1666,P,Hemicryptophyte
1666,W,Hemicryptophyte
1667,P,Hemicryptophyte
1668,P,Hemicryptophyte
1668,W,Hemicryptophyte
1669,H,Hemicryptophyte
1670,C,Hemicryptophyte
1671,H,Hemicryptophyte
1672,H,Hemicryptophyte
1673,C,Hemicryptophyte
1674,C,Chamaephyte
1674,G,Chamaephyte
1675,G,Hemicryptophyte
1675,R,Hemicryptophyte
1683,A,Therophyte
1684,P,Therophyte
1685,A,Therophyte
1685,P,Therophyte
1686,A,Therophyte
1686,P,Therophyte
1687,A,Therophyte
1687,P,Therophyte
1688,P,Therophyte
1689,C,Hemicryptophyte
1690,C,Hemicryptophyte
1691,C,Therophyte
1692,C,Hemicryptophyte
1693,C,Hemicryptophyte
1695,W,Geophyte (Cryptophyte)
1696,W,Geophyte (Cryptophyte)
1697,W,Geophyte (Cryptophyte)
1698,W,Geophyte (Cryptophyte)
1699,W,Geophyte (Cryptophyte)
1701,H,Hemicryptophyte
1702,G,Hemicryptophyte
1703,H,Hemicryptophyte
1704,G,Hemicryptophyte
1705,G,Hemicryptophyte
1706,H,Hemicryptophyte
1707,C,Hemicryptophyte
1708,G,Hemicryptophyte
1709,C,Chamaephyte
1711,H,Hemicryptophyte
1712,R,Therophyte
1713,G,Hemicryptophyte
1713,H,Hemicryptophyte
1714,G,Hemicryptophyte
1714,H,Hemicryptophyte
1715,G,Hemicryptophyte
1715,H,Hemicryptophyte
1716,G,Therophyte
1716,H,Therophyte
1716,P,Therophyte
1716,W,Therophyte
1717,W,Therophyte
1718,G,Therophyte
1718,P,Therophyte
1719,H,Therophyte
1720,G,Therophyte
1721,G,Therophyte
1721,H,Therophyte
1721,P,Therophyte
1722,G,Therophyte
1723,G,Therophyte
1724,G,Hemicryptophyte
1724,H,Hemicryptophyte
1725,H,Hemicryptophyte
1726,P,Therophyte
1727,G,Hemicryptophyte
1727,H,Hemicryptophyte
1728,G,Hemicryptophyte
1729,G,Hemicryptophyte
1730,P,Therophyte
1730,W,Therophyte
1731,R,Therophyte
1732,P,Therophyte
1733,A,Hemicryptophyte
1734,W,Therophyte
1735,R,Therophyte
1736,G,Therophyte
1737,G,Therophyte
1737,R,Therophyte
1738,G,Therophyte
1738,W,Therophyte
1739,G,Therophyte
1740,G,Therophyte
1740,P,Therophyte
1740,W,Therophyte
1741,P,Therophyte
1742,A,Therophyte
1742,P,Therophyte
1743,A,Therophyte
1743,G,Therophyte
1743,H,Therophyte
1744,A,Therophyte
1744,H,Therophyte
1746,C,Therophyte
1747,P,Therophyte
1748,P,Therophyte
1749,P,Therophyte
1750,G,Therophyte
1750,P,Therophyte
1751,H,Hemicryptophyte
1752,H,Therophyte
1753,H,Therophyte
1754,R,Therophyte
1755,P,Phanerophyte
1755,W,Phanerophyte
1756,A,Aquatic
1757,A,Aquatic
1758,W,Phanerophyte
1759,R,Therophyte
1763,G,Therophyte
1764,R,Phanerophyte
1765,H,Therophyte
1766,P,Therophyte
1767,G,Therophyte
1767,R,Therophyte
1768,G,Therophyte
1768,R,Therophyte
1769,C,Hemicryptophyte
1770,C,Therophyte
1770,P,Therophyte
1771,G,Hemicryptophyte
1771,R,Hemicryptophyte
1772,R,Hemicryptophyte
1773,R,Hemicryptophyte
1774,R,Therophyte
1775,G,Hemicryptophyte
1776,A,Hemicryptophyte
1776,W,Hemicryptophyte
1777,W,Therophyte
1779,G,Phanerophyte
1779,W,Phanerophyte
1780,G,Phanerophyte
1780,W,Phanerophyte
1781,G,Phanerophyte
1781,W,Phanerophyte
1782,G,Phanerophyte
1782,W,Phanerophyte
1783,G,Phanerophyte
1783,W,Phanerophyte
1784,G,Phanerophyte
1784,W,Phanerophyte
1785,G,Chamaephyte
1785,H,Chamaephyte
1785,W,Chamaephyte
1786,G,Chamaephyte
1786,H,Chamaephyte
1786,W,Chamaephyte
1787,G,Chamaephyte
1787,W,Chamaephyte
1788,P,Chamaephyte
1788,W,Chamaephyte
1789,P,Chamaephyte
1789,W,Chamaephyte
1790,R,Hemicryptophyte
1791,R,Therophyte
1792,R,Therophyte
1793,R,Therophyte
1794,R,Therophyte
1795,R,Therophyte
1796,R,Therophyte
1797,R,Therophyte
1798,R,Therophyte
1799,R,Therophyte
1800,M,Therophyte
1801,G,Hemicryptophyte
1801,R,Hemicryptophyte
1802,G,Hemicryptophyte
1802,R,Hemicryptophyte
1803,H,Hemicryptophyte
1804,R,Therophyte
1805,R,Therophyte
1806,R,Therophyte
1807,G,Hemicryptophyte
1808,W,Hemicryptophyte
1809,A,Therophyte
1810,R,Therophyte
1811,P,Hemicryptophyte
1811,W,Hemicryptophyte
1812,H,Hemicryptophyte
1813,A,Hemicryptophyte
1813,W,Hemicryptophyte
1814,R,Hemicryptophyte
1815,G,Therophyte
1815,P,Therophyte
1816,M,Chamaephyte
1816,P,Chamaephyte
1817,A,Hemicryptophyte
1818,M,Phanerophyte
1818,R,Phanerophyte
1819,W,Hemicryptophyte
1820,A,Hemicryptophyte
1821,R,Hemicryptophyte
1822,R,Hemicryptophyte
1823,A,Hemicryptophyte
1824,A,Hemicryptophyte
1825,W,Hemicryptophyte
1826,R,Hemicryptophyte
1827,G,Hemicryptophyte
1827,H,Hemicryptophyte
1828,G,Hemicryptophyte
1828,H,Hemicryptophyte
1829,R,Hemicryptophyte
1830,R,Hemicryptophyte
1831,R,Hemicryptophyte
1832,A,Hemicryptophyte
1833,H,Hemicryptophyte
1834,A,Aquatic
1835,R,Hemicryptophyte
1836,A,Hemicryptophyte
1837,R,Hemicryptophyte
1838,A,Hemicryptophyte
1838,R,Hemicryptophyte
1839,M,Geophyte (Cryptophyte)
1840,P,Chamaephyte
1841,P,Chamaephyte
1842,P,Chamaephyte
1843,P,Chamaephyte
1844,P,Chamaephyte
1845,P,Chamaephyte
1846,P,Chamaephyte
1847,W,Chamaephyte
1850,R,Therophyte
1851,A,Geophyte (Cryptophyte)
1852,W,Phanerophyte
1853,H,Phanerophyte
1854,W,Phanerophyte
1855,W,Phanerophyte
1856,W,Phanerophyte
1857,C,Therophyte
1857,P,Therophyte
1859,W,Hemicryptophyte
1860,C,Hemicryptophyte
1861,W,Hemicryptophyte
1862,W,Hemicryptophyte
1863,W,Hemicryptophyte
1864,G,Therophyte
1864,P,Therophyte
1864,R,Therophyte
1865,G,Therophyte
1865,P,Therophyte
1865,R,Therophyte
1866,P,Therophyte
1867,A,Geophyte (Cryptophyte)
1867,H,Geophyte (Cryptophyte)
1868,R,Therophyte
1869,G,Geophyte (Cryptophyte)
1870,P,Geophyte (Cryptophyte)
1871,G,Geophyte (Cryptophyte)
1871,H,Geophyte (Cryptophyte)
1872,P,Geophyte (Cryptophyte)
1874,G,Geophyte (Cryptophyte)
1874,W,Geophyte (Cryptophyte)
1875,P,Geophyte (Cryptophyte)
1875,W,Geophyte (Cryptophyte)
1876,P,Geophyte (Cryptophyte)
1877,G,Geophyte (Cryptophyte)
1878,G,Geophyte (Cryptophyte)
1879,G,Geophyte (Cryptophyte)
1879,P,Geophyte (Cryptophyte)
1880,G,Geophyte (Cryptophyte)
1881,H,Geophyte (Cryptophyte)
1882,P,Geophyte (Cryptophyte)
1883,P,Geophyte (Cryptophyte)
1884,P,Geophyte (Cryptophyte)
1885,G,Geophyte (Cryptophyte)
1885,H,Geophyte (Cryptophyte)
1886,G,Geophyte (Cryptophyte)
1887,G,Geophyte (Cryptophyte)
1887,H,Geophyte (Cryptophyte)
1888,G,Geophyte (Cryptophyte)
1889,P,Geophyte (Cryptophyte)
1890,P,Geophyte (Cryptophyte)
1891,P,Geophyte (Cryptophyte)
1891,W,Geophyte (Cryptophyte)
1892,P,Geophyte (Cryptophyte)
1893,H,Geophyte (Cryptophyte)
1894,P,Geophyte (Cryptophyte)
1895,H,Geophyte (Cryptophyte)
1896,P,Geophyte (Cryptophyte)
1897,H,Geophyte (Cryptophyte)
1898,P,Geophyte (Cryptophyte)
1899,G,Geophyte (Cryptophyte)
1899,P,Geophyte (Cryptophyte)
1900,P,Geophyte (Cryptophyte)
1901,H,Geophyte (Cryptophyte)
1902,P,Geophyte (Cryptophyte)
1903,A,Geophyte (Cryptophyte)
1904,P,Geophyte (Cryptophyte)
1905,R,Therophyte
1906,W,Geophyte (Cryptophyte)
1907,W,Phanerophyte
1908,W,Phanerophyte
1909,W,Phanerophyte
1910,R,Phanerophyte
1910,W,Phanerophyte
1911,W,Chamaephyte
1912,W,Chamaephyte
1914,R,Hemicryptophyte
1915,R,Hemicryptophyte
1916,R,Therophyte
1917,R,Therophyte
1918,M,Therophyte
1919,P,Therophyte
1919,R,Therophyte
1920,R,Therophyte
1921,R,Therophyte
1922,R,Therophyte
1923,R,Therophyte
1924,R,Therophyte
1925,R,Therophyte
1926,P,Therophyte
1927,P,Therophyte
1928,G,Therophyte
1929,W,Geophyte (Cryptophyte)
1930,R,Hemicryptophyte
1931,C,Chamaephyte
1933,R,Hemicryptophyte
1934,G,Chamaephyte
1934,H,Chamaephyte
1935,G,Chamaephyte
1936,H,Chamaephyte
1937,G,Chamaephyte
1938,P,Therophyte
1940,P,Hemicryptophyte
1940,R,Hemicryptophyte
1941,G,Hemicryptophyte
1942,H,Chamaephyte
1943,P,Chamaephyte
1944,A,Hemicryptophyte
1945,C,Chamaephyte
1945,P,Chamaephyte
1947,P,Hemicryptophyte
1948,P,Hemicryptophyte
1948,R,Hemicryptophyte
1949,P,Therophyte
1949,R,Therophyte
1951,W,Geophyte (Cryptophyte)
1952,R,Therophyte
1953,W,Phanerophyte
1954,P,Hemicryptophyte
1955,M,Therophyte
1956,R,Therophyte
1957,W,Phanerophyte
1958,W,Phanerophyte
1959,W,Phanerophyte
1960,G,Hemicryptophyte
1961,W,Phanerophyte
1962,M,Therophyte
1963,R,Therophyte
1964,W,Phanerophyte
1965,W,Phanerophyte
1966,A,Therophyte
1968,H,Geophyte (Cryptophyte)
1969,H,Geophyte (Cryptophyte)
1970,H,Geophyte (Cryptophyte)
1971,H,Geophyte (Cryptophyte)
1972,H,Geophyte (Cryptophyte)
1973,W,Geophyte (Cryptophyte)
1974,G,Geophyte (Cryptophyte)
1974,W,Geophyte (Cryptophyte)
1975,W,Geophyte (Cryptophyte)
1976,H,Geophyte (Cryptophyte)
1976,W,Geophyte (Cryptophyte)
1977,H,Geophyte (Cryptophyte)
1978,W,Geophyte (Cryptophyte)
1979,G,Geophyte (Cryptophyte)
1979,W,Geophyte (Cryptophyte)
1980,H,Geophyte (Cryptophyte)
1981,W,Phanerophyte
1982,W,Phanerophyte
1984,M,Therophyte
1985,C,Geophyte (Cryptophyte)
1986,W,Phanerophyte
1987,C,Phanerophyte
1987,H,Phanerophyte
1987,W,Phanerophyte
1988,C,Phanerophyte
1988,H,Phanerophyte
1988,W,Phanerophyte
1989,C,Phanerophyte
1989,W,Phanerophyte
1990,H,Phanerophyte
1990,W,Phanerophyte
1991,C,Phanerophyte
1991,W,Phanerophyte
1992,A,Therophyte
1993,P,Therophyte
1993,R,Therophyte
1994,A,Therophyte
1995,A,Therophyte
1995,R,Therophyte
1996,A,Therophyte
1997,P,Phanerophyte
1997,W,Phanerophyte
1998,W,Phanerophyte
1999,G,Phanerophyte
1999,W,Phanerophyte
2000,H,Phanerophyte
2000,W,Phanerophyte
2001,H,Phanerophyte
2001,W,Phanerophyte
2002,W,Phanerophyte
2003,W,Phanerophyte
2004,G,Phanerophyte
2004,W,Phanerophyte
2005,W,Phanerophyte
2006,H,Hemicryptophyte
2007,H,Hemicryptophyte
2008,H,Hemicryptophyte
2009,H,Hemicryptophyte
2010,C,Hemicryptophyte
2010,H,Hemicryptophyte
2011,H,Hemicryptophyte
2012,G,Hemicryptophyte
2014,P,Hemicryptophyte
2014,R,Hemicryptophyte
2015,H,Hemicryptophyte
2016,P,Therophyte
2016,R,Therophyte
2020,H,Hemicryptophyte
2020,W,Hemicryptophyte
2021,W,Hemicryptophyte
2022,H,Hemicryptophyte
2023,H,Hemicryptophyte
2024,C,Hemicryptophyte
2024,G,Hemicryptophyte
2024,H,Hemicryptophyte
2025,G,Hemicryptophyte
2025,H,Hemicryptophyte
2026,G,Hemicryptophyte
2027,R,Therophyte
2028,M,Therophyte
2028,P,Therophyte
2029,G,Therophyte
2029,P,Therophyte
2030,G,Therophyte
2030,P,Therophyte
2031,P,Therophyte
2032,G,Therophyte
2032,P,Therophyte
2033,G,Therophyte
2035,R,Therophyte
2036,A,Therophyte
2036,R,Therophyte
2037,W,Hemicryptophyte
2038,G,Therophyte
2038,P,Therophyte
2039,G,Therophyte
2039,R,Therophyte
2040,R,Therophyte
2041,H,Hemicryptophyte
2042,G,Hemicryptophyte
2043,P,Therophyte
2044,G,Hemicryptophyte
2044,R,Hemicryptophyte
2045,G,Hemicryptophyte
2046,G,Hemicryptophyte
2046,R,Hemicryptophyte
2047,H,Hemicryptophyte
2048,H,Hemicryptophyte
2049,H,Hemicryptophyte
2050,R,Therophyte
2051,A,Chamaephyte
2051,M,Chamaephyte
2052,M,Chamaephyte
2053,P,Therophyte
2054,G,Geophyte (Cryptophyte)
2054,W,Geophyte (Cryptophyte)
2055,G,Geophyte (Cryptophyte)
2055,H,Geophyte (Cryptophyte)
2055,P,Geophyte (Cryptophyte)
2056,H,Geophyte (Cryptophyte)
2057,P,Geophyte (Cryptophyte)
2058,P,Geophyte (Cryptophyte)
2059,G,Geophyte (Cryptophyte)
2060,P,Geophyte (Cryptophyte)
2061,G,Geophyte (Cryptophyte)
2061,P,Geophyte (Cryptophyte)
2062,G,Geophyte (Cryptophyte)
2062,P,Geophyte (Cryptophyte)
2063,P,Geophyte (Cryptophyte)
2064,G,Geophyte (Cryptophyte)
2064,W,Geophyte (Cryptophyte)
2065,H,Geophyte (Cryptophyte)
2066,G,Geophyte (Cryptophyte)
2066,W,Geophyte (Cryptophyte)
2067,G,Geophyte (Cryptophyte)
2067,W,Geophyte (Cryptophyte)
2068,P,Geophyte (Cryptophyte)
2069,G,Geophyte (Cryptophyte)
2070,P,Geophyte (Cryptophyte)
2070,R,Geophyte (Cryptophyte)
2071,P,Geophyte (Cryptophyte)
2072,G,Geophyte (Cryptophyte)
2072,H,Geophyte (Cryptophyte)
2072,P,Geophyte (Cryptophyte)
2072,W,Geophyte (Cryptophyte)
2073,P,Geophyte (Cryptophyte)
2074,H,Geophyte (Cryptophyte)
2075,G,Geophyte (Cryptophyte)
2075,P,Geophyte (Cryptophyte)
2075,W,Geophyte (Cryptophyte)
2076,P,Geophyte (Cryptophyte)
2077,G,Geophyte (Cryptophyte)
2077,W,Geophyte (Cryptophyte)
2078,H,Geophyte (Cryptophyte)
2078,P,Geophyte (Cryptophyte)
2079,G,Geophyte (Cryptophyte)
2079,W,Geophyte (Cryptophyte)
2080,G,Geophyte (Cryptophyte)
2081,A,Geophyte (Cryptophyte)
2082,G,Geophyte (Cryptophyte)
2082,W,Geophyte (Cryptophyte)
2083,W,Geophyte (Cryptophyte)
2084,H,Geophyte (Cryptophyte)
2084,P,Geophyte (Cryptophyte)
2085,G,Geophyte (Cryptophyte)
2086,G,Geophyte (Cryptophyte)
2087,P,Geophyte (Cryptophyte)
2088,G,Geophyte (Cryptophyte)
2088,P,Geophyte (Cryptophyte)
2089,H,Geophyte (Cryptophyte)
2089,W,Geophyte (Cryptophyte)
2090,P,Therophyte
2091,G,Therophyte
2091,P,Therophyte
2092,G,Therophyte
2093,P,Therophyte
2093,W,Therophyte
2094,P,Therophyte
2094,W,Therophyte
2095,M,Therophyte
2095,P,Therophyte
2096,M,Chamaephyte
2097,G,Hemicryptophyte
2097,W,Hemicryptophyte
2098,G,Therophyte
2099,H,Chamaephyte
2100,H,Chamaephyte
2101,H,Chamaephyte
2102,H,Hemicryptophyte
2102,W,Hemicryptophyte
2103,G,Therophyte
2103,P,Therophyte
2104,G,Therophyte
2105,A,Therophyte
2105,M,Therophyte
2106,A,Therophyte
2107,A,Therophyte
2108,A,Therophyte
2110,W,Phanerophyte
2111,P,Therophyte
2111,R,Therophyte
2112,P,Therophyte
2112,R,Therophyte
2113,P,Therophyte
2114,H,Therophyte
2115,G,Therophyte
2116,R,Therophyte
2117,G,Therophyte
2117,H,Therophyte
2117,P,Therophyte
2118,G,Therophyte
2118,P,Therophyte
2119,G,Therophyte
2119,H,Therophyte
2119,P,Therophyte
2120,R,Therophyte
2121,W,Therophyte
2122,P,Therophyte
2123,P,Therophyte
2124,P,Therophyte
2125,P,Therophyte
2125,R,Therophyte
2126,P,Therophyte
2127,A,Therophyte
2127,R,Therophyte
2128,A,Therophyte
2129,A,Therophyte
2129,R,Therophyte
2130,R,Therophyte
2131,M,Therophyte
2132,W,Therophyte
2133,H,Hemicryptophyte
2134,W,Geophyte (Cryptophyte)
2135,W,Geophyte (Cryptophyte)
2136,P,Geophyte (Cryptophyte)
2136,W,Geophyte (Cryptophyte)
2137,P,Geophyte (Cryptophyte)
2137,W,Geophyte (Cryptophyte)
2138,P,Geophyte (Cryptophyte)
2138,W,Geophyte (Cryptophyte)
2139,P,Geophyte (Cryptophyte)
2139,W,Geophyte (Cryptophyte)
2140,W,Geophyte (Cryptophyte)
2141,P,Geophyte (Cryptophyte)
2141,W,Geophyte (Cryptophyte)
2142,P,Geophyte (Cryptophyte)
2142,W,Geophyte (Cryptophyte)
2143,W,Geophyte (Cryptophyte)
2144,W,Geophyte (Cryptophyte)
2145,P,Geophyte (Cryptophyte)
2145,W,Geophyte (Cryptophyte)
2146,A,Geophyte (Cryptophyte)
2146,W,Geophyte (Cryptophyte)
2147,R,Phanerophyte
2147,W,Phanerophyte
2158,G,Therophyte
2159,M,Aquatic
2160,A,Phanerophyte
2161,R,Hemicryptophyte
2162,R,Hemicryptophyte
2163,P,Hemicryptophyte
2164,P,Hemicryptophyte
2166,R,Geophyte (Cryptophyte)
2168,P,Hemicryptophyte
2169,R,Therophyte
2170,P,Hemicryptophyte
2170,R,Hemicryptophyte
2171,G,Hemicryptophyte
2172,R,Hemicryptophyte
2173,W,Hemicryptophyte
2174,W,Hemicryptophyte
2175,H,Hemicryptophyte
2176,G,Hemicryptophyte
2176,H,Hemicryptophyte
2177,G,Hemicryptophyte
2178,G,Hemicryptophyte
2178,H,Hemicryptophyte
2179,G,Hemicryptophyte
2180,R,Therophyte
2180,W,Therophyte
2181,G,Therophyte
2181,R,Therophyte
2182,A,Hemicryptophyte
2182,R,Hemicryptophyte
2183,M,Geophyte (Cryptophyte)
2184,A,Therophyte
2184,R,Therophyte
2185,A,Geophyte (Cryptophyte)
2186,A,Geophyte (Cryptophyte)
2187,R,Geophyte (Cryptophyte)
2188,A,Therophyte
2189,A,Therophyte
2189,R,Therophyte
2190,A,Hemicryptophyte
2190,R,Hemicryptophyte
2191,A,Therophyte
2191,M,Therophyte
2192,A,Hemicryptophyte
2192,R,Hemicryptophyte
2193,A,Geophyte (Cryptophyte)
2196,A,Therophyte
2197,A,Therophyte
2198,A,Therophyte
2200,A,Geophyte (Cryptophyte)
2200,R,Geophyte (Cryptophyte)
2201,A,Geophyte (Cryptophyte)
2203,H,Geophyte (Cryptophyte)
2204,C,Geophyte (Cryptophyte)
2204,W,Geophyte (Cryptophyte)
2205,P,Geophyte (Cryptophyte)
2206,P,Geophyte (Cryptophyte)
2207,P,Geophyte (Cryptophyte)
2209,G,Chamaephyte
2209,H,Chamaephyte
2210,G,Chamaephyte
2211,G,Chamaephyte
2211,H,Chamaephyte
2212,W,Phanerophyte
2213,G,Chamaephyte
2214,W,Phanerophyte
2215,W,Phanerophyte
2216,W,Phanerophyte
2217,G,Hemicryptophyte
2217,H,Hemicryptophyte
2217,M,Hemicryptophyte
2217,R,Hemicryptophyte
2218,G,Hemicryptophyte
2218,R,Hemicryptophyte
2219,M,Hemicryptophyte
2220,G,Hemicryptophyte
2220,P,Hemicryptophyte
2221,H,Hemicryptophyte
2222,R,Therophyte
2223,A,Geophyte (Cryptophyte)
2224,A,Geophyte (Cryptophyte)
2225,A,Geophyte (Cryptophyte)
2226,A,Geophyte (Cryptophyte)
2227,A,Geophyte (Cryptophyte)
2228,A,Geophyte (Cryptophyte)
2229,A,Geophyte (Cryptophyte)
2230,A,Geophyte (Cryptophyte)
2231,A,Geophyte (Cryptophyte)
2232,W,Geophyte (Cryptophyte)
2233,A,Geophyte (Cryptophyte)
2234,A,Geophyte (Cryptophyte)
2234,G,Geophyte (Cryptophyte)
2235,A,Aquatic
2236,A,Aquatic
2237,G,Hemicryptophyte
2237,W,Hemicryptophyte
2238,H,Hemicryptophyte
2239,C,Hemicryptophyte
2239,H,Hemicryptophyte
2240,W,Phanerophyte
2241,P,Phanerophyte
2241,W,Phanerophyte
2242,W,Phanerophyte
2243,C,Chamaephyte
2243,P,Chamaephyte
2244,H,Chamaephyte
2245,W,Phanerophyte
2246,W,Phanerophyte
2247,H,Chamaephyte
2248,P,Phanerophyte
2248,W,Phanerophyte
2249,G,Hemicryptophyte
2249,H,Hemicryptophyte
2250,R,Therophyte
2251,A,Hemicryptophyte
2252,R,Therophyte
2253,R,Therophyte
2254,R,Hemicryptophyte
2255,P,Therophyte
2257,G,Hemicryptophyte
2257,R,Hemicryptophyte
2261,M,Therophyte
2262,P,Therophyte
2263,P,Therophyte
2264,P,Therophyte
2265,G,Therophyte
2265,R,Therophyte
2266,G,Hemicryptophyte
2266,H,Hemicryptophyte
2267,R,Therophyte
2268,P,Therophyte
2268,R,Therophyte
2269,R,Therophyte
2270,A,Hemicryptophyte
2270,H,Hemicryptophyte
2271,G,Hemicryptophyte
2272,R,Therophyte
2273,P,Hemicryptophyte
2274,H,Hemicryptophyte
2275,P,Hemicryptophyte
2276,G,Hemicryptophyte
2277,P,Chamaephyte
2278,G,Hemicryptophyte
2279,P,Hemicryptophyte
2280,C,Hemicryptophyte
2280,P,Hemicryptophyte
2281,C,Hemicryptophyte
2281,P,Hemicryptophyte
2282,C,Hemicryptophyte
2282,P,Hemicryptophyte
2283,G,Chamaephyte
2283,P,Chamaephyte
2284,M,Hemicryptophyte
2284,P,Hemicryptophyte
2285,G,Hemicryptophyte
2286,A,Hemicryptophyte
2286,G,Hemicryptophyte
2286,H,Hemicryptophyte
2287,A,Hemicryptophyte
2287,G,Hemicryptophyte
2287,H,Hemicryptophyte
2288,A,Hemicryptophyte
2288,G,Hemicryptophyte
2288,H,Hemicryptophyte
2289,C,Chamaephyte
2290,P,Hemicryptophyte
2291,C,Hemicryptophyte
2292,G,Chamaephyte
2293,C,Chamaephyte
2294,C,Chamaephyte
2295,C,Chamaephyte
2296,C,Chamaephyte
2297,C,Chamaephyte
2298,C,Chamaephyte
2299,C,Chamaephyte
2300,C,Chamaephyte
2301,C,Chamaephyte
2302,G,Chamaephyte
2303,P,Hemicryptophyte
2303,W,Hemicryptophyte
2304,G,Hemicryptophyte
2305,G,Hemicryptophyte
2306,G,Hemicryptophyte
2307,G,Hemicryptophyte
2308,G,Hemicryptophyte
2309,G,Hemicryptophyte
2309,H,Hemicryptophyte
2310,G,Hemicryptophyte
2310,H,Hemicryptophyte
2311,G,Hemicryptophyte
2312,H,Hemicryptophyte
2313,G,Hemicryptophyte
2314,H,Hemicryptophyte
2315,G,Hemicryptophyte
2315,H,Hemicryptophyte
2315,P,Hemicryptophyte
2316,G,Hemicryptophyte
2317,G,Hemicryptophyte
2317,H,Hemicryptophyte
2318,H,Hemicryptophyte
2318,P,Hemicryptophyte
2319,M,Hemicryptophyte
2320,H,Hemicryptophyte
2321,H,Hemicryptophyte
2322,C,Chamaephyte
2323,C,Chamaephyte
2324,C,Chamaephyte
2325,C,Chamaephyte
2326,C,Chamaephyte
2327,C,Chamaephyte
2328,C,Chamaephyte
2329,C,Chamaephyte
2330,G,Hemicryptophyte
2331,G,Hemicryptophyte
2332,P,Hemicryptophyte
2332,R,Hemicryptophyte
2333,P,Hemicryptophyte
2333,R,Hemicryptophyte
2334,C,Hemicryptophyte
2335,A,Hemicryptophyte
2335,H,Hemicryptophyte
2336,H,Hemicryptophyte
2337,A,Hemicryptophyte
2337,H,Hemicryptophyte
2338,G,Hemicryptophyte
2339,G,Therophyte
2339,P,Therophyte
2340,G,Therophyte
2341,G,Hemicryptophyte
2341,H,Hemicryptophyte
2342,G,Hemicryptophyte
2342,H,Hemicryptophyte
2343,C,Hemicryptophyte
2343,G,Hemicryptophyte
2343,H,Hemicryptophyte
2344,G,Hemicryptophyte
2344,H,Hemicryptophyte
2345,G,Hemicryptophyte
2346,G,Hemicryptophyte
2347,C,Hemicryptophyte
2348,P,Therophyte
2349,H,Hemicryptophyte
2349,P,Hemicryptophyte
2350,H,Hemicryptophyte
2351,P,Hemicryptophyte
2352,H,Hemicryptophyte
2353,H,Chamaephyte
2354,C,Chamaephyte
2356,P,Hemicryptophyte
2356,R,Hemicryptophyte
2357,G,Hemicryptophyte
2358,G,Hemicryptophyte
2359,C,Hemicryptophyte
2359,G,Hemicryptophyte
2359,H,Hemicryptophyte
2359,M,Hemicryptophyte
2360,P,Hemicryptophyte
2361,P,Therophyte
2361,R,Therophyte
2362,P,Hemicryptophyte
2363,H,Hemicryptophyte
2364,G,Hemicryptophyte
2365,C,Chamaephyte
2366,C,Chamaephyte
2366,P,Chamaephyte
2367,R,Hemicryptophyte
2368,G,Hemicryptophyte
2369,P,Hemicryptophyte
2370,H,Hemicryptophyte
2371,P,Hemicryptophyte
2371,W,Hemicryptophyte
2372,G,Hemicryptophyte
2373,G,Hemicryptophyte
2374,H,Hemicryptophyte
2375,W,Hemicryptophyte
2376,W,Hemicryptophyte
2377,R,Therophyte
2378,R,Hemicryptophyte
2379,W,Hemicryptophyte
2380,W,Hemicryptophyte
2381,W,Hemicryptophyte
2382,W,Hemicryptophyte
2383,W,Hemicryptophyte
2384,G,Hemicryptophyte
2384,W,Hemicryptophyte
2385,W,Hemicryptophyte
2386,G,Hemicryptophyte
2387,H,Hemicryptophyte
2387,W,Hemicryptophyte
2388,R,Therophyte
2389,R,Therophyte
2390,R,Therophyte
2391,W,Hemicryptophyte
2392,R,Phanerophyte
2394,R,Therophyte
2395,R,Therophyte
2396,R,Hemicryptophyte
2397,R,Therophyte
2398,R,Hemicryptophyte
2399,R,Hemicryptophyte
2400,M,Therophyte
2400,R,Therophyte
2402,A,Hemicryptophyte
2403,W,Geophyte (Cryptophyte)
